sent?,avoid?,user_id,date,count,username,country,influence1,influence2,influence3,none_DS dev,alt_name,chronology,count,date,x,y,country2,mentions mentioned,count
x,dead,7900,,0,Dranoel,US,,,,,,95,0,2008,,,,,
x,dead,8950,2008-05-10 10:46:24,0,MOOMANiBE,US,,,,iNiS,,96,0,2008,,,,,
x,dead,586,,0,TiZ,US,,,,,,97,0,2008,,,,,
x,dead,71,,0,diela,HK,,,,,,98,0,2008,,,,,
x,dead,10441,,0,Dakeyrus,CA,,,,,,99,0,2008,,,,,
x,,10028,,0,vytalibus,PH,,,,,,100,0,2008,,,,,
x,dead,11738,,0,BluePaladin25,US,,,,,,101,0,2008,,,,,
x,dead,9415,,0,Kasada,US,,,,,,102,0,2008,,,,,
x,dead,8614,,0,bitor,US,,,,,,103,0,2008,,,,,
x,dead,6529,,0,YoshiKart,US,Starrodkirby86,,,iNiS,,104,0,2008,,,,,
x,,9934,2008-07-02 3:09:39,3,kingcobra52,US,,,,,,105,3,2008,,,,,
x,dead,7365,,0,Gemi,FI,,,,,,106,0,2008,,,,,
x,dead,12506,,0,lukewarmholiday,US,,,,,,107,0,2008,,,,,
x,dead,11593,2008-07-10 6:40:19,0,ash,US,Rolled,James,LuigiHann,,,108,0,2008,,,,,
x,,10863,,0,Pong_old,US,,,,,,109,0,2008,,,,,
x,dead,14823,,0,bironist,JP,,,,,,110,0,2008,,,,,
x,,612,,0,RemmyX25,US,,,,,,111,0,2008,,,,,
x,dead,4646,,0,Agent BA8 Rookbie,GB,,,,,,112,0,2008,,,,,
x,dead,6794,2008-07-18 7:00:58,3,Nharox,DE,,,,,,113,3,2008,3792,711,,,
x,dead,8505,,0,ichikam,AU,,,,,,114,0,2008,,,,,
x,dead,7824,2008-07-20 17:40:02,2,deepsea,TW,tsuka,Rolled,DJPop,,,115,2,2008,,,,,
x,dead,8643,2008-07-23 9:26:52,0,MaybeLater_x,GB,,,,none,,116,0,2008,,,,,
x,dead,15064,2008-07-25 1:43:17,0,Utena,BR,mtmcl,LuigiHann,Behonkiss,,,117,0,2008,,,,,
x,dead,9251,,0,altruisticcrono,US,,,,,,118,0,2008,,,,,
x,dead,9631,,0,silasw,US,,,,,,119,0,2008,,,,,
x,,12437,,0,Qwertyuiop_old,KR,,,,,,120,0,2008,,,,,
x,dead,4970,,0,Neo@lex,GB,,,,,,121,0,2008,,,,,
x,dead,9018,,0,jmaeshawn,US,,,,,,122,0,2008,,,,,
x,dead,15038,,0,Silvuh,US,,,,,,123,0,2008,,,,,
x,,9199,2008-08-07 3:58:24,0,Remco32,NL,Larto,,,,,124,0,2008,,,,,
x,,17695,2008-08-07 4:13:48,10,Mafiamaster,US,saymun,Natteke,alvisto,,,125,10,2008,4052,1211,,,
x,dead,8399,,0,DawnII,US,,,,,,126,0,2008,,,,,
x,,19835,2008-08-09 4:43:53,1,Lissette,DO,James,Alace,Shinxyn,,,127,1,2008,4052,471,1,,1
x,dead,22263,,0,gamerrox,US,,,,,,128,0,2008,,,,,
x,dead,8012,,0,Pokebis,US,,,,,,129,0,2008,,,,,
x,dead,10158,,0,emj,US,,,,,,130,0,2008,,,,,
x,dead,9072,2008-08-24 8:40:57,1,CheeseWarlock,CA,,,,,,131,1,2008,4052,431,,,
x,dead,12328,2008-08-26 4:23:36,31,Larto,DE,Rolled,Seibei4211,RandomJibberish,,,132,31,2008,4052,1651,57,,99
x,dead,11361,,0,Cmdt_Carpenter,US,,,,,,133,0,2008,,,,,
x,dead,32453,,0,ogicu8abruok,US,,,,,,134,0,2008,,,,,
x,,18589,,0,Cyclone,US,,,,,,135,0,2008,,,,,
x,dead,16977,,0,Donjo,US,,,,,,136,0,2008,,,,,
x,dead,6499,,0,LeMoonwalker,FR,,,,,,137,0,2008,,,,,
x,dead,30655,2008-09-22 7:50:11,5,mm201,CA,,,,,,138,5,2008,4312,851,,,
x,dead,5726,,0,pokedigi,CN,,,,,,139,0,2008,,,,,
x,dead,5287,2008-09-09 2:13:40,0,Drezus,BR,,,,iNiS,,140,0,2008,,,,,
x,dead,8358,,0,adam2046,AU,,,,,,141,0,2008,,,,,
x,dead,31537,2008-09-11 10:02:22,1,Seibei4211,US,CheeseWarlock,FFFanatic,m980,,,142,1,2008,4312,471,,,
x,,60294,2008-09-14 8:14:14,14,DaRRi,CN,,,,,darrihuka,142.5,14,2008,7152,1451,,,
x,dead,17938,,0,Ekaru,US,,,,,,143,0,2008,,,,,
x,dead,8649,,0,Tri-Edge,US,,,,,,144,0,2008,,,,,
x,dead,14583,2008-09-24 22:00:34,0,luke0719,TW,James,Alace,deepsea,,,145,0,2008,,,,,
x,dead,593,,0,yuching,HK,,,,,,146,0,2008,,,,,
x,dead,7013,,0,mrtn,NL,,,,,,147,0,2008,,,,,
x,dead,12213,,0,uzushika,SG,,,,,,148,0,2008,,,,,
x,dead,19883,,0,foulcoon,US,,,,,,149,0,2008,,,,,
x,dead,23062,2008-10-02 7:32:21,6,Gens,MX,Larto,RandomJibberish,Rolled,,,150,6,2008,4552,991,,,
x,dead,2675,,0,TheManCalledNo,US,,,,,,151,0,2008,,,,,
x,dead,11866,,0,tom800510,TW,,,,,,152,0,2008,,,,,
x,dead,19173,,0,himydanny,CN,,,,,,153,0,2008,,,,,
x,dead,2316,,0,K2J,US,,,,,,154,0,2008,,,,,
x,dead,13920,,0,Symbolic,NL,,,,,,155,0,2008,,,,,
x,dead,21870,,0,taktaktak,HK,,,,,,156,0,2008,,,,,
x,,12248,2008-10-16 16:59:54,16,kioukiou,TW,,,,,,157,16,2008,4552,1431,,,
x,dead,43345,2008-10-19 18:31:47,0,Pasonia,SG,m980,Kharl,deepsea,,,158,0,2008,,,,,
x,dead,33646,,0,AgentSieg,ES,,,,,,159,0,2008,,,,,
x,,25999,2008-10-27 2:14:29,3,Diasios,PE,Card N'FoRcE,lepidopodus,Andrea,,xxheroxx,160,3,2008,4552,751,7,,7
x,dead,13007,,0,Ema Skye,FR,,,,,,161,0,2008,,,,,
x,,25993,2008-11-01 21:07:09,21,Alace,TW,,,,,,162,21,2008,4812,1591,83,,70
x,dead,22343,,0,antony11,HK,,,,,,163,0,2008,,,,,
x,dead,11648,,0,shindrgon,TW,,,,,,164,0,2008,,,,,
x,,21961,2008-11-04 20:53:42,11,Al-Azif,HK,James,FFFanatic,DaRRi,,,165,11,2008,4812,1211,,,
x,dead,43677,,0,Takuma,US,,,,,,166,0,2008,,,,,
x,dead,10542,,0,Metroid,US,,,,,,167,0,2008,,,,,
x,dead,35074,,0,TheRagnarok,US,,,,,,168,0,2008,,,,,
x,dead,44776,,0,sunfantasy,CN,,,,,,169,0,2008,,,,,
x,,23326,2008-11-23 7:44:40,6,GladiOol,NL,Lesjuh,James,Rolled,,Gladi,170,6,2008,4812,991,,,
x,,47270,2008-12-10 9:03:07,0,Jeffro,NL,DJPop,James,Mafiamaster,,,171,0,2008,,,,,
x,dead,31343,,0,Hara,SE,,,,,,172,0,2008,,,,,
x,,27343,2008-12-14 21:11:41,7,ignorethis,CN,FFFanatic,DJPop,Al-Azif,,,173,7,2008,5072,1071,,,
x,,19488,2008-12-16 7:15:50,3,Dangaard,DE,James,happy30,DJPop,,,174,3,2008,5072,751,,,
x,dead,17470,,0,EVA-X,CN,,,,,,175,0,2008,,,,,
x,,27767,2008-12-31 12:37:23,35,happy30,NL,James,Al-Azif,DJPop,,,176,35,2008,5072,1731,70,,103
x,dead,21970,2009-01-01 5:27:08,0,Lizbeth,DO,James,Alace,Rolled,,,177,0,2009,,,,,
x,dead,50829,,0,FolkFolk,PH,,,,,,178,0,2009,,,,,
